sr,allreduce,1mb,0.000001,112,0,18990,1.72,2.12,2.12
sr,alltoall,1mb,0.000001,56,0,85302,32.75,53.62,53.62
sr,allreduce,4mb,0.000001,112,0,82322,6.06,6.84,7.15
sr,alltoall,4mb,0.000001,56,0,332375,135.77,224.12,224.12
sr,allreduce,16mb,0.000001,112,0,346989,23.35,25.68,26.11
sr,alltoall,16mb,0.000001,56,0,1346136,547.81,942.70,942.70
sr,allreduce,64mb,0.000001,112,0,1401658,92.11,101.21,104.58
sr,alltoall,64mb,0.000001,56,0,5335181,2189.12,3760.00,3760.00
sr,allreduce,128mb,0.000001,112,0,2767024,183.48,198.98,198.99
sr,alltoall,128mb,0.000001,56,0,10641270,4381.02,7559.24,7559.24
sr,allreduce,256mb,0.000001,112,0,5601456,366.33,394.21,395.94
sr,alltoall,256mb,0.000001,56,0,21394867,8764.60,15069.16,15069.16
sr,allreduce,1mb,0.0000001,112,0,0,1.47,1.72,1.74
sr,allreduce,16mb,0.0000001,19,0,0,19.52,22.09,22.09
